"","x"
"1",11007
"2",15021
"3",15022
"4",17004
"5",17006
"6",17003
"7",17007
"8",17005
"9",17008
"10",17001
"11",17002
"12",21003
"13",21012
"14",21019
"15",21008
"16",21010
"17",21004
"18",21006
"19",21009
"20",21020
"21",21016
"22",21015
"23",21014
"24",21018
"25",21021
"26",21017
"27",21013
"28",21005
"29",21011
"30",22006
"31",22003
"32",22011
"33",22013
"34",22005
"35",22002
"36",22009
"37",22012
"38",22004
"39",22008
"40",22001
"41",22007
"42",22010
"43",22015
"44",29028
"45",29003
"46",29025
"47",29004
"48",29026
"49",29002
"50",29027
"51",29022
"52",29007
"53",29001
"54",29006
"55",31050
"56",31001
"57",31018
"58",31022
"59",31024
"60",31015
"61",31027
"62",31048
"63",31005
"64",31042
"65",31006
"66",31036
"67",31019
"68",31020
"69",31047
"70",31002
"71",31029
"72",31046
"73",31007
"74",31057
"75",31003
"76",31004
"77",31017
"78",31032
"79",31031
"80",31008
"81",31021
"82",31044
"83",31043
"84",31010
"85",31025
"86",31028
"87",31011
"88",31045
"89",31026
"90",31009
"91",31030
"92",31023
"93",31012
"94",31049
"95",35003
"96",35043
"97",35046
"98",35004
"99",35010
"100",35030
"101",35025
"102",35026
"103",35014
"104",35036
"105",35029
"106",35028
"107",35040
"108",35031
"109",35038
"110",35027
"111",35021
"112",35001
"113",35013
"114",35011
"115",35041
"116",35042
"117",35012
"118",35002
"119",35044
"120",35023
"121",35020
"122",35015
"123",35009
"124",35022
"125",35039
"126",35024
"127",35016
"128",41018
"129",41019
"130",41021
"131",41020
"132",50007
"133",50006
"134",50008
"135",50011
"136",50010
"137",50005
"138",50004
"139",50009
"140",50001
"141",50002
"142",50003
"143",51020
"144",51013
"145",51007
"146",51016
"147",51021
"148",51019
"149",51004
"150",51008
"151",51009
"152",51011
"153",51014
"154",51017
"155",51010
"156",51001
"157",51005
"158",51006
"159",51015
"160",51018
"161",51012
"162",51022
"163",52011
"164",52014
"165",52013
"166",52001
"167",52002
"168",52018
"169",52004
"170",52016
"171",52015
"172",52008
"173",52010
"174",52012
"175",52005
"176",52006
"177",52017
"178",52003
"179",52009
"180",52007
"181",53001
